일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2015/12/30","1705.15","-11.75","-0.68","1720.88","1723.91","1695.15","6718.0","324395.0","1.82977636E8"
"2015/12/29","1716.90","-0.70","-0.04","1709.78","1721.69","1702.35","5635.0","277820.0","1.84332832E8"
"2015/12/28","1717.60","-33.96","-1.94","1741.93","1748.05","1717.60","7514.0","398696.0","1.84125162E8"
"2015/12/24","1751.56","-3.58","-0.20","1764.62","1770.03","1751.56","5416.0","309621.0","1.87901676E8"
"2015/12/23","1755.14","-8.17","-0.46","1762.51","1771.37","1750.68","6593.0","410704.0","1.88435576E8"
"2015/12/22","1763.31","10.77","0.61","1750.50","1766.06","1741.66","6072.0","380668.0","1.89106928E8"
"2015/12/21","1752.54","-12.93","-0.73","1758.24","1769.17","1738.84","5708.0","311495.0","1.88009826E8"
"2015/12/18","1765.47","6.61","0.38","1741.93","1765.79","1734.65","7530.0","422521.0","1.89285686E8"
"2015/12/17","1758.86","15.47","0.89","1757.49","1763.59","1744.22","7259.0","383949.0","1.88331875E8"
"2015/12/16","1743.39","27.26","1.59","1732.60","1756.57","1730.67","8395.0","437532.0","1.86709185E8"
"2015/12/15","1716.13","4.10","0.24","1721.76","1724.02","1710.37","6878.0","344952.0","1.83953437E8"
"2015/12/14","1712.03","15.27","0.90","1681.36","1715.35","1673.64","9023.0","462375.0","1.83608569E8"
"2015/12/11","1696.76","-13.44","-0.79","1703.18","1710.94","1681.66","9960.0","571213.0","1.82480519E8"
"2015/12/10","1710.20","10.75","0.63","1693.80","1714.05","1691.20","9949.0","489723.0","1.83298066E8"
"2015/12/09","1699.45","-3.74","-0.22","1696.95","1707.91","1676.87","7590.0","408048.0","1.82002928E8"
"2015/12/08","1703.19","-9.39","-0.55","1713.93","1727.04","1703.19","7151.0","311083.0","1.82249381E8"
"2015/12/07","1712.58","-9.97","-0.58","1734.60","1737.23","1712.49","6466.0","279128.0","1.83190268E8"
"2015/12/04","1722.55","-13.46","-0.78","1718.42","1731.44","1717.27","6580.0","349391.0","1.84465638E8"
"2015/12/03","1736.01","-17.61","-1.00","1748.35","1752.15","1729.69","7321.0","344876.0","1.85977349E8"
"2015/12/02","1753.62","-7.39","-0.42","1765.25","1771.06","1749.75","7023.0","340546.0","1.88033685E8"
"2015/12/01","1761.01","40.38","2.35","1730.32","1763.65","1729.47","8502.0","475908.0","1.88718118E8"
"2015/11/30","1720.63","-30.78","-1.76","1743.45","1751.23","1719.70","10682.0","674910.0","1.84564966E8"
"2015/11/27","1751.41","-5.78","-0.33","1763.20","1763.32","1744.28","7204.0","373337.0","1.87963356E8"
"2015/11/26","1757.19","11.97","0.69","1754.01","1766.30","1749.44","8392.0","395342.0","1.88594133E8"
"2015/11/25","1745.22","-18.23","-1.03","1766.09","1766.81","1743.63","9180.0","455815.0","1.87324542E8"
"2015/11/24","1763.45","-3.72","-0.21","1766.39","1772.38","1754.00","9836.0","554496.0","1.89226967E8"
