일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2023/04/28","1519.95","-14.07","-0.92","1534.74","1536.67","1514.68","9236.0","601987.0","1.51592163E8"
"2023/04/27","1534.02","-1.11","-0.07","1532.74","1552.66","1525.67","9418.0","590337.0","1.53169788E8"
"2023/04/26","1535.13","-25.96","-1.66","1573.12","1581.29","1533.26","13484.0","1172435.0","1.53223292E8"
"2023/04/25","1561.09","23.44","1.52","1543.36","1564.03","1523.00","12330.0","961498.0","1.55279742E8"
"2023/04/24","1537.65","13.48","0.88","1529.43","1541.61","1525.12","9579.0","476835.0","1.5258806E8"
"2023/04/21","1524.17","-18.08","-1.17","1528.62","1533.38","1508.51","12223.0","579471.0","1.51193914E8"
"2023/04/20","1542.25","-11.88","-0.76","1548.81","1554.66","1535.44","9459.0","440745.0","1.53081792E8"
"2023/04/19","1554.13","19.73","1.29","1537.69","1558.96","1533.65","9765.0","513184.0","1.54372355E8"
"2023/04/18","1534.40","-13.31","-0.86","1536.13","1536.60","1508.97","13675.0","743359.0","1.52407147E8"
"2023/04/17","1547.71","-11.13","-0.71","1556.94","1557.82","1540.72","9505.0","444367.0","1.53866735E8"
"2023/04/14","1558.84","-7.63","-0.49","1570.39","1574.62","1555.23","10572.0","529890.0","1.54851034E8"
"2023/04/13","1566.47","2.12","0.14","1556.44","1566.47","1546.02","13441.0","633000.0","1.5577345E8"
"2023/04/12","1564.35","36.42","2.38","1546.36","1568.37","1544.86","21199.0","1072669.0","1.55488475E8"
"2023/04/11","1527.93","50.49","3.42","1480.26","1530.19","1477.02","19862.0","982166.0","1.51949129E8"
"2023/04/10","1477.44","2.40","0.16","1475.21","1488.18","1465.68","13057.0","446969.0","1.46845805E8"
"2023/04/07","1475.04","-7.16","-0.48","1483.69","1483.69","1472.35","8300.0","396830.0","1.46539238E8"
"2023/04/06","1482.20","-16.53","-1.10","1502.00","1507.42","1480.65","12843.0","533010.0","1.47145721E8"
"2023/04/05","1498.73","12.97","0.87","1491.30","1502.05","1487.06","9752.0","451057.0","1.4875988E8"
"2023/04/04","1485.76","-1.90","-0.13","1488.43","1497.57","1481.42","9884.0","431038.0","1.47388313E8"
"2023/04/03","1487.66","-6.84","-0.46","1495.50","1501.60","1484.23","9171.0","418325.0","1.47539452E8"
"2023/03/31","1494.50","22.44","1.52","1481.94","1497.24","1479.72","9908.0","492726.0","1.48174598E8"
"2023/03/30","1472.06","0.83","0.06","1461.83","1479.48","1456.95","9957.0","455259.0","1.45918485E8"
"2023/03/29","1471.23","24.59","1.70","1451.15","1472.20","1450.83","9415.0","467249.0","1.45740842E8"
"2023/03/28","1446.64","12.80","0.89","1438.92","1446.64","1434.23","6592.0","299862.0","1.43234251E8"
"2023/03/27","1433.84","-4.12","-0.29","1437.65","1437.86","1421.43","7947.0","402180.0","1.41941489E8"
"2023/03/24","1437.96","-19.33","-1.33","1446.64","1451.22","1427.26","7517.0","425437.0","1.42510695E8"
"2023/03/23","1457.29","-0.30","-0.02","1446.71","1465.89","1443.10","9958.0","506103.0","1.44314809E8"
"2023/03/22","1457.59","11.67","0.81","1456.14","1458.18","1445.88","8892.0","430344.0","1.4443783E8"
