,예측,실제,실제종가,예측종가
2020-05,-0.17201747842246462,0.11620345518631503,1047.71,882.1345810647458
2020-06,-0.06406763249834235,0.09867031040634217,1156.36,1084.5981046972204
2020-07,0.13173188675930847,-0.03358372003611607,1118.17,1275.6110352939475
2020-08,0.016785627127580804,0.08174939858261233,1213.42,1233.959921127362
2020-09,0.051659163751404114,0.1605044080983485,1424.68,1500.2119390853013
2020-10,-0.10900301839068338,0.0305461706011367,1468.87,1317.1764325915603
2020-11,-0.05854540296719479,-0.03516134693708392,1418.12,1337.479199372782
2020-12,0.028292062703235255,0.09685904725665405,1562.35,1607.1833273227894
2021-01,0.08912017608429501,0.10290093754457467,1731.68,1893.0934018296607
2021-02,0.06496333708664448,0.12435741219744614,1960.99,2092.611452588356
2021-03,-0.00709349606339571,-0.040466370073763705,1883.22,1869.9086541494835
2021-04,-0.0172133569758669,-0.007162300801668075,1869.78,1837.8702343874131
2021-05,0.026957584119262745,-0.014312160034773463,1843.21,1893.5742884071115
2021-06,0.024827093203611983,0.07852371760781576,1993.78,2043.8993463563322
2021-07,0.04014426629267731,0.014430580998512438,2022.76,2105.614148841687
2021-08,-0.026439316696800885,-0.06078437918334278,1903.47,1853.8030274776022
2021-09,0.03339050023883017,-0.012422717007197681,1879.97,1943.802914573469
2021-10,0.01583228900044531,-0.08762424377655977,1722.25,1749.7341541679523
2021-11,0.00386127067638653,0.03339743275799058,1780.74,1787.6292111392413
2021-12,0.023287000123523915,-0.0815830475225058,1641.23,1679.8978043992574
2022-01,0.00894714860326351,0.058456393730464073,1740.03,1755.6681611385902
2022-02,0.03163797374412347,-0.08294917617579341,1601.52,1652.9988977577514
2022-03,-0.023881490242200876,-0.041036136950247284,1537.13,1500.8559085713753
2022-04,0.018756245728034582,0.015845123541625004,1561.68,1591.247676317234
2022-05,0.0004715749672885572,0.030235961420702586,1609.62,1610.3792355030057
2022-06,-0.02285881149056923,0.006242820616810121,1619.7,1583.0955440896082
2022-07,-0.07221672946331648,-0.09040158238386241,1479.7,1376.6081826460975
2022-08,-0.000161841187550138,0.06365957851650239,1576.96,1576.7048035720845
2022-09,0.032716849286336114,-0.015851433812017462,1552.16,1603.7816287789105
2022-10,-0.02124091739810674,-0.07972384809305007,1433.22,1403.0981329267531
2022-11,0.034728429459835786,-0.028686532383919806,1392.69,1441.905579995438
2022-12,0.03105863002365039,0.030443266983275975,1435.74,1481.0318277356646
2023-01,0.018106132834879052,-0.06609712016410679,1343.91,1368.464636924314
2023-02,0.05754072059200044,0.06870560861638084,1439.49,1524.7486926600711
2023-03,0.0046080945142052965,0.03356063210669976,1488.62,1495.4955310376101
2023-04,-0.019145568102881372,-0.0006451006177458184,1487.66,1459.4488253737072
